Date,Open,High,Low,Close,Adj Close,Volume
1/11/2018,8275,8275,8125,8250,7331.220215,19294700
1/12/2018,8200,8250,8175,8175,7264.572754,15456000
1/15/2018,8175,8200,8125,8175,7264.572754,12912900
1/16/2018,8200,8250,8125,8225,7309.003906,25472200
1/17/2018,8150,8300,8125,8200,7286.787598,44342900
1/18/2018,8275,8300,8200,8300,7375.651367,41790200
1/19/2018,8300,8350,8250,8350,7420.083008,28789700
1/22/2018,8350,8350,8200,8250,7331.220215,40680600
1/23/2018,8300,8525,8250,8525,7575.59375,39074200
1/24/2018,8525,8750,8450,8725,7753.319336,36840200
1/25/2018,8675,8750,8625,8725,7753.319336,27585500
1/26/2018,8725,8725,8500,8625,7664.458008,24505100
1/29/2018,8650,8675,8500,8650,7686.673828,17150200
1/30/2018,8650,8650,8400,8425,7486.730957,23643200
1/31/2018,8400,8700,8375,8500,7553.37793,29112000
2/1/2018,8525,8750,8525,8575,7620.026367,31700800
2/2/2018,8700,8750,8625,8700,7731.104004,24482800
2/5/2018,8500,8650,8450,8525,7575.59375,23045600
2/6/2018,8350,8475,8350,8425,7486.730957,33410900
2/7/2018,8500,8600,8375,8450,7508.946777,31215400
2/8/2018,8500,8525,8350,8375,7442.298828,28406900
2/9/2018,8250,8350,8175,8200,7286.787598,64748600
2/12/2018,8300,8300,8200,8200,7286.787598,20368800
2/13/2018,8200,8300,8200,8275,7353.435059,30608200
2/14/2018,8275,8375,8275,8375,7442.298828,24033700
2/15/2018,8425,8425,8275,8275,7353.435059,14832000
2/16/2018,8275,8275,8275,8275,7353.435059,0
2/19/2018,8350,8425,8300,8425,7486.730957,22998500
2/20/2018,8350,8375,8250,8300,7375.651367,17276200
2/21/2018,8325,8350,8125,8175,7264.572754,43896000
2/22/2018,8200,8225,8000,8000,7109.061523,33253700
2/23/2018,8125,8250,8100,8200,7286.787598,29457600
2/26/2018,8200,8225,8050,8100,7197.925293,23816800
2/27/2018,8100,8200,8075,8200,7286.787598,23718200
2/28/2018,8175,8175,8075,8075,7175.709473,45102600
3/1/2018,8100,8175,8075,8075,7175.709473,25963100
3/2/2018,8075,8150,8025,8150,7242.356445,15833800
3/5/2018,8175,8175,8075,8150,7242.356445,19421500
3/6/2018,8200,8200,8025,8050,7153.493164,29864500
3/7/2018,8000,8025,7775,7825,6953.550293,56371600
3/8/2018,7925,7925,7775,7850,6975.766602,45172700
3/9/2018,7900,7900,7750,7775,6909.119141,26855700
3/12/2018,7850,7875,7775,7800,6931.334961,34352400
3/13/2018,7775,7775,7675,7700,6842.47168,29718200
3/14/2018,7650,7725,7575,7575,6731.393066,25878500
3/15/2018,7525,7575,7425,7450,6620.313477,38893700
3/16/2018,7450,7525,7350,7450,6620.313477,93558800
3/19/2018,7450,7475,7250,7275,6464.802246,44260000
3/20/2018,7225,7350,7200,7300,6487.018066,53047800
3/21/2018,7350,7350,7275,7300,6487.018066,41451100
3/22/2018,7350,7450,7325,7350,6531.450195,40302400
3/23/2018,7050,7275,7050,7275,6464.802246,38206300
3/26/2018,7275,7275,7175,7225,6420.371094,22640900
3/27/2018,7300,7375,7250,7300,6487.018066,24060300
3/28/2018,7225,7250,7075,7100,6309.291992,32341200
3/29/2018,7175,7325,7050,7300,6487.018066,40859700
3/30/2018,7300,7300,7300,7300,6487.018066,0
4/2/2018,7350,7600,7300,7550,6709.17627,30899400
4/3/2018,7500,7750,7450,7675,6820.255859,30007800
4/4/2018,7675,7675,7475,7575,6731.393066,22563400
4/5/2018,7625,7650,7475,7600,6753.608398,16561500
4/6/2018,7600,7600,7525,7525,6686.961426,8268700
4/9/2018,7550,7750,7550,7750,6886.904297,17097200
4/10/2018,7700,7850,7675,7825,6953.550293,27654600
4/11/2018,7875,7975,7850,7950,7064.629395,34716800
4/12/2018,7850,7925,7700,7725,6864.687988,26558600
4/13/2018,7750,7825,7525,7525,6686.961426,17816300
4/16/2018,7525,7525,7525,7525,6686.961426,0
4/17/2018,7525,7525,7525,7525,6686.961426,0
4/18/2018,7625,7625,7475,7525,6686.961426,23356500
4/19/2018,7525,7525,7525,7525,6686.961426,0
4/20/2018,7525,7525,7525,7525,6686.961426,0
4/23/2018,7600,7600,7475,7475,6642.529297,12648900
4/24/2018,7400,7475,7300,7325,6509.234863,33995200
